GP name,ODS code,Number of patients added to PNL,Number of patients invited by system,Percentage of patients invited by system,Number of patients invited from PNL by user,Percentage of patients invited from PNL by user,Number of patients deferred from PNL by user,Percentage of patients deferred from PNL by user,Number of patients ceased from PNL by user,Percentage of patients ceased from PNL by user,Number deferred due to pregnancy,Number deferred due to recent test,Number deferred due to under care of colposcopy,Number deferred due to treatment relevant to screening
Low Lane Surgery,B86044,60,60,100.0%,0,0.0%,0,0.0%,0,0.0%,0,0,0,0
Sand Bank,A123456,75,50,66.7%,20,26.7%,3,4.0%,2,2.7%,1,1,0,1
Broad Lane Medical Centre,D583743,35,0,0.0%,30,85.7%,0,0.0%,5,14.3%,0,0,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,